"CODE_NUM,N,5,0","BARCODE,N,12,0","BARCODE2,C,1","BRAND,C,32","DESCRIP,C,69","TYPE,N,2,0","SIZE,C,18","COST,N,9,4","LAST_COST,N,9,4","NEXT_COST,C,7","COST_2,C,6","COST_3,C,1","PRICE,N,10,4","MIN_PRICE,C,5","QTY_ON_HND,C,5","WAREHOUSE1,C,2","WAREHOUSE2,C,1","QTY_ON_RSV,C,1","QTY_ON_ORD,C,5","QTY_CASE,N,3,0","DIST,C,2","DIVI,C,1","SALESMAN,C,1","LAST_ORD,C,10","LAST_RCV,C,10","COST_DATE,C,10","SALES,C,10","P,C,3","P_PRICE,C,2","REORDER,C,2","LAST_EDIT,C,10","LAST_SALE,D","FIRST,N,10,0","SECON,N,10,0","THIRD,N,1,0","FOURT,N,1,0","FIFTH,N,1,0","SIXTH,N,1,0","SEVEN,N,1,0","EIGHT,N,2,0","NINTH,N,2,0","TENTH,N,1,0","ELEVE,N,2,0","TWELV,N,2,0","PRIORY,C,4","MTD,N,2,0","YTD,C,5","TWOFER,C,2","TWOFER_AMT,C,5","TAXABLE,C,1","START_PROM,C,1","END_PROM,C,1","BIN,C,5","DEPOSIT,C,1","DEP_AMT,C,1","THRFER,C,2","THRFER_AMT,C,5","CASE_PRICE,C,7","STD_QTY,N,1,0","PRINT_BAR,C,1","TAXRATE,C,1","TAXABLE2,C,1","TAXRATE2,C,1","SCRIPT_YN,C,1","FLAT_TAX,C,1","SHELF_CAP,C,1","QTY_SHELF,C,3","INTNUM,N,14,3","CLASS,C,7","VENDNUM,N,7,0","PAR_QTY,C,3","PRICE_B,C,5","PRICE_C,C,1","PRICE_D,C,1","PRICE_E,C,1","PRICE_F,C,1","PRICE_G,C,1","PRICE_H,C,1","PRICE_I,C,1","PRICE_J,C,1","DEP_B,C,1","DEP_C,C,1","CASE_B,C,1","CASE_C,C,1","CASE_D,C,1","CASE_E,C,1","CASE_F,C,1","CASE_G,C,1","CASE_H,C,1","CASE_I,C,1","CASE_J,C,1","USER1,C,1","USER2,C,1","DISC_OK,C,1","ORDER_LOT,C,1","DEP_ORD,C,1","DEP_ORDAMT,C,1","NOTES,C,1","NOTE2,C,1","DISCPOOL,C,1","BMP,C,1","HOCODE,C,1","POINTX,C,1","ITEMNOTE,C,1","USER1NAM,C,1","USER2NAM,C,1","VENDNAM,C,30","TYPENAM,C,30","TAXABLE3,C,22","TAXRATE3,C,9"
245,17444000732,,SMOKING LOON,SYRAH,8,.750L,0,0,,,,9.99,,,,,,,12,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,N,,,,N,,,,,1,N,,Y,,N,,,,800244,S,4,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,REPUBLIC NATIONAL DISTRIBUTING,WINE-DOMESTIC,,
246,17444000756,,SMOKING LOON,PINOT NOIR WW-4,8,.750L,5.9942,5.9942,,,,9.99,,,,,,,12,,,,,,,,,,,,11/20/2012,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,N,,,WW-4,N,,,,,1,N,,Y,,N,,,,800257,S,4,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,REPUBLIC NATIONAL DISTRIBUTING,WINE-DOMESTIC,,
248,17444000770,,SMOKING LOON,SAUVIGNON BLANC WW-4,8,.750L,5.9942,5.9942,,,,10.99,,,,,,,12,,,,,,,,,,,,07/27/2013,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,N,,,WW-4,N,,,,,1,N,,Y,,N,,,,800247,S,4,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,REPUBLIC NATIONAL DISTRIBUTING,WINE-DOMESTIC,,
252,1801828,,BUD,16 OZ CAN,60,16 OZ,5.7375,5.7375,,,,7.99,,,,,,,4,,,,,,,,,,,,10/20/2017,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,N,,,,N,,,,,1,N,,Y,,N,,,,139,S,42,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,,BEER,,
254,1805125,,BUSCH,12 OZ CANS,60,12 OZ,2.8875,2.8,,,,4.49,,,,,,,4,,,,,,,,,,,,01/04/2013,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,N,,,,N,,,,13.99,1,N,,Y,,N,,,,840,S,0,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,,BEER,,
263,1818323,,O'DOULS N/A AMBER,6PK BTL,85,12 OZ,6.15,6.15,,,,7.99,,,,,,,4,,,,,2022-01-06,,,,,,2022-05-01,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,1,,,,N,,,,,1,N,,Y,,N,,,,0,S,92,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,KATCEF BROTHERS  INC,NON ALCOHAL,,
264,1818828,,BUSCH LIGHT,12 PK CANS,60,12 OZ,6.15,6.15,,,,7.99,,,,,,,2,,,,,,,,,,,,11/16/2012,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,N,,,,N,,,,,1,N,,Y,,N,,,,5626,S,42,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,,BEER,,
265,18200006463,,BUD ICE,6PK BOTTLES,60,12 OZ,5.2125,4.5667,,,,6.99,,2,,,,,3,,,,,,,16,,,,2025-06-30,06/14/2025,0,0,0,0,0,0,0,0,0,0,0,0,,0,16,,,N,,,,N,,,,24.99,1,N,,Y,,N,,,,1721,S,92,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,KATCEF BROTHERS  INC,BEER,,
266,18200007699,,BUD LIGHT,12PK BOTTLES,60,12 OZ,10.4,10.4,,,,12.99,,,,,,,2,,,,2021-12-28,2021-12-29,,11,,,,2022-04-13,05/20/2022,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,N,,,,N,,,,24.99,1,N,,Y,,N,,,,26160,S,92,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,KATCEF BROTHERS  INC,BEER,,
270,18200007842,,O'DOUL'S,6 PK BTLS,94,12 OZ,6.5875,6.5875,,,,8.99,,,,,,,4,,,,,2022-10-09,,16,,,,2023-05-02,03/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,4,0,,,,N,,,,N,,,,,1,N,,Y,,N,,,,10163,S,92,,,,,,,,,,,,,,,,,,,,,,,,Y,C,,,,,,,,,,,,KATCEF BROTHERS  INC,DISCONTINUED,,
